Start_X,Start_Y,Start_Z,End_X,End_Y,End_Z
0.078999996,0.121,8.6085,0.61899996,-0.362,22.098999
0.61899996,-0.362,22.098999,2.865,-0.518,30.1245
2.865,-0.518,30.1245,6.5545,-0.812,37.657997
6.5545,-0.812,37.657997,11.952,-1.315,43.8605
11.952,-1.315,43.8605,19.5985,-1.819,47.648003
19.5985,-1.819,47.648003,28.0865,-1.964,48.97
28.0865,-1.964,48.97,36.172,-2.11,48.403
36.172,-2.11,48.403,53.4065,-1.954,44.436
53.4065,-1.954,44.436,70.5045,-1.481,41.017
70.5045,-1.481,41.017,89.9275,-0.907,36.913002
89.9275,-0.907,36.913002,106.0675,-0.365,32.536
106.0675,-0.365,32.536,125.216995,-0.676,24.193
125.216995,-0.676,24.193,138.3485,-1.375,16.258999
138.3485,-1.375,16.258999,151.3425,-1.375,5.8640003
151.3425,-1.375,5.8640003,159.0025,-1.375,-6.0360003
159.0025,-1.375,-6.0360003,162.969,-1.34,-19.441
162.969,-1.34,-19.441,166.7985,-0.637,-36.9485
166.7985,-0.637,-36.9485,167.512,-0.476,-41.1285
167.512,-0.476,-41.1285,170.2415,-0.476,-60.086502
170.2415,-0.476,-60.086502,170.8115,-0.943,-67.496
170.8115,-0.943,-67.496,169.949,-2.271,-76.1205
169.949,-2.271,-76.1205,167.955,-3.678,-84.095
167.955,-3.678,-84.095,164.39551,-4.432,-90.841
164.39551,-4.432,-90.841,161.94,-4.737,-94.0895
161.94,-4.737,-94.0895,158.20999,-5.043,-97.261
158.20999,-5.043,-97.261,153.961,-5.531,-98.648
153.961,-5.531,-98.648,148.4375,-6.02,-99.958
148.4375,-6.02,-99.958,138.4635,-6.679,-100.528
138.4635,-6.679,-100.528,130.1635,-7.022,-99.1445
130.1635,-7.022,-99.1445,125.914,-7.382,-98.4405
125.914,-7.382,-98.4405,121.8625,-7.741,-98.1765
121.8625,-7.741,-98.1765,116.968994,-7.578,-98.7425
116.968994,-7.578,-98.7425,112.317505,-7.415,-99.9745
112.317505,-7.415,-99.9745,105.5385,-6.679,-105.508
105.5385,-6.679,-105.508,103.373,-6.679,-109.7
103.373,-6.679,-109.7,101.0005,-6.679,-113.63699
101.0005,-6.679,-113.63699,97.4955,-7.305,-116.798996
97.4955,-7.305,-116.798996,93.0885,-8.04,-120.3105
93.0885,-8.04,-120.3105,83.957504,-8.726,-125.014
83.957504,-8.726,-125.014,79.9035,-8.927,-127.828
79.9035,-8.927,-127.828,76.715,-9.133,-131.617
76.715,-9.133,-131.617,75.4665,-8.557,-136.66
75.4665,-8.557,-136.66,74.4945,-7.969,-141.99051
74.4945,-7.969,-141.99051,71.945,-7.324,-146.0715
71.945,-7.324,-146.0715,69.17551,-6.679,-150.03351
69.17551,-6.679,-150.03351,66.9375,-6.679,-154.82501
66.9375,-6.679,-154.82501,66.007996,-6.679,-159.6955
66.007996,-6.679,-159.6955,67.5005,-6.679,-165.70401
67.5005,-6.679,-165.70401,69.8265,-6.679,-171.7865
69.8265,-6.679,-171.7865,73.789505,-7.192,-177.45349
73.789505,-7.192,-177.45349,78.417,-7.988,-182.4455
78.417,-7.988,-182.4455,84.1675,-8.087,-184.77649
84.1675,-8.087,-184.77649,90.0305,-8.176,-186.10449
90.0305,-8.176,-186.10449,97.8575,-7.322,-185.691
97.8575,-7.322,-185.691,103.8705,-6.679,-186.1925
103.8705,-6.679,-186.1925,108.92149,-6.679,-189.751
108.92149,-6.679,-189.751,114.848495,-6.679,-194.2185
114.848495,-6.679,-194.2185,124.1875,-7.029,-200.89551
124.1875,-7.029,-200.89551,127.8145,-7.1905003,-202.246
127.8145,-7.1905003,-202.246,130.7605,-7.093,-202.7305
130.7605,-7.093,-202.7305,136.184,-7.093,-203.6235
136.184,-7.093,-203.6235,141.249,-7.008,-205.166
